a;that
adwumayɛbea;job center
adwumayɛbea;Jobcentre
adwumayɛbea;workplace
adwumayɛbea;workshop
adwumayɛbea;workstation
adwumayɛbea a wɔde nneɛma gu mu;packing plant
adwumayɛbea a wɔde yɛ adwuma;workbench
adwumayɛbea a wɔyɛ adwuma wɔ hɔ;business park
adwumayɛbea a wɔyɛ nneɛma a wɔde yɛ nneɛma foforo;refinery
adwumayɛbea bere a wɔde yɛ adwuma;office hours
adwumayɛbea dan;office building
adwumayɛbea ti no;headquarters
adwumayɛfo;personnel
adwumayɛfo a wɔatwitwa;crew cut
adwumayɛfo a wɔfa wɔn adwuma mu;recruitment
adwumayɛfo a wɔyɛ adwuma;entrepreneurial
adwumayɛfo a wɔyɛ adwuma;operative
adwumayɛfo a wɔyɛ adwuma;operator
adwumayɛfo a wɔyɛ adwuma wɔ apam mu;contractor
adwumayɛfo a wɔyɛ adwuma wɔ ɔtopae mu;mineworker
adwumayɛfo a wɔyɛ adwumaden;activism
adwumayɛfo a wɔyɛ adwumaden;bureaucracy
adwumayɛfo a wɔyɛ adwumaden;bureaucratize
adwumayɛfo a wɔyɛ adwumaden;executrix
adwumayɛfo a wɔyɛ adwumaden;hardworking
adwumayɛfo a wɔyɛ adwumaden;proletarian
adwumayɛfo a wɔyɛ adwumaden;proletariat
adwumayɛfo a wɔyɛ adwumaden;workaholic
adwumayɛfo baa dwumadibea;executive branch
adwumayɛfo gua so;labor market
adwumayɛfo kuw;trade union
adwumayɛfo kuw;working class
adwumayɛfo kuw apam;collective agreement
adwumayɛfo ntɛtea;worker bee
adwumayɛfo panyin;bureaucrat
adwumayɛfo panyin;chief of staff
adwumayɛfoɔ;crew
adwumayɛkuw;enterprise
adwumayɛkuw a wɔbom yɛ;collaboration
adwumayɛkuw a wɔnyɛ adwuma a mfaso wɔ so;nonprofit
adwumayɛkuw a wɔyɛ biako;cooperative
adwumayɛkuw no asodi;enterprise liability
adwumayɛni;professional
adwumfo;artificer
adwumfo;carver
adwumfo;craftsman
adygea a wɔfrɛ no adygea;Adygea
adyghe na ɔkyerɛwee;Adyghe
adze;adze
adɔdɔdeɛ;bait
adɔe a wɔde ma;alms
adɔe adwuma;charitable
adɔeyɛ;philanthropic
adɔeyɛ;philanthropy
adɔeyɛfo;philanthropist
adɔkɔdɔkɔdeɛ;snack
adɔre;fertile
adɛfɛdɛfɛfo;flatterer
adɛfɛdɛfɛsɛm;flattering
adɛfɛdɛfɛsɛm;flattery
adɛn;why
adɛn na daabi;why not
aedile;aedile
aegean a ɛwɔ hɔ;Aegean
aegean po no;Aegean Sea
aegidius na ɔkyerɛwee;Aegidius
aegis (aegis) a ɛwɔ hɔ;aegis
aeneas na ɔkyerɛwee;Aeneas
aeneid a wɔfrɛ no aeneid;Aeneid
aeolian kasa;aeolian
aeolus a wɔfrɛ no aeolus;Aeolus
aeriferous a ɛwɔ mframa mu;aeriferous
aerobe a wɔde hyɛ nipadua mu;aerobe
aerobic a ɛma nipadua no yɛ adwuma;aerobic
aerobics a wɔde yɛ nneɛma;aerobics
aerobiosis a ɛma nipadua no yɛ adwuma;aerobiosis
aerogram a wɔde kyerɛ ade;aerogram
aeromancy a wɔde di dwuma;aeromancy
aeronianfo a wɔyɛ adwuma wɔ hɔ;Aeronian
aerophobic a ɛyɛ hu;aerophobic
aerosol a wɔde hyɛ nipadua mu;aerosol
aerosol betumi ayɛ;aerosol can
aerostat a wɔde di dwuma;aerostat
aerostatics a wɔde di dwuma;aerostatics
aeschylus na ɔkyerɛwee;Aeschylus
aesculapius na ɔkyerɛwee;Aesculapius
aesop na ɔkyerɛwee;Aesop
aesopian kasa mu;Aesopian
aestivation a ɛyɛ fɛ;aestivation
aetolia na ɛwɔ hɔ;Aetolia
aeviternity a ɛwɔ hɔ;aeviternity
afadeɛ;costume
afadeɛ;dress
afadeɛ;gear
afadeɛ a aba so;fashion
afafrantɔ;butterfly
afahyɛ;feast
afahyɛ;festival
afahyɛ a wɔde di dwuma;celebration
afahyɛ a wɔde di dwuma;festivity
afahyɛ mu;festively
afahyɛfo;celebrant
afasu wɔ aso;walls have ears
afe;comb
afe;year
afe a edi hɔ no;next year
afe a etwaam no;last year
afe a ɛto so abiɛsa a etwaam no;last quarter
afe abien biara;biannual
afe abien biara;biennial
afe afe sika a wɔde tua ho ka;annuity
afe berɛ bi;nostalgic
afe biara;annually
afe biara;yearly
afe foforo;New Year
afe foforo anwummere;New Year's Eve
afe foforo da;New Year's Day
afe nhoma;yearbook
afe yi;this year
afeafe;annual
afeha mu afifide;century plant
afeha mu egg;century egg
afehyiapa;merry Christmas
afei;yet
affability a ɛyɛ fɛ;affability
affable;affable
afferent a ɛma obi yɛ ade;afferent
affiliate a ɛka ho;affiliate
affiliation a wɔde ka ho;affiliation
affinity a ɛwɔ abusuabɔ;affinity
affinity krataa a ɛkyerɛ sɛnea obi te;affinity card
affirmation a wɔde si so dua;affirmation
affirmative a ɛkyerɛ sɛ ɛyɛ nokware;affirmative
affix a wɔde hyɛ mu;affix
afflatus (afflatus) a wɔfrɛ no afflatus;afflatus
affreightment a wɔde fa nnipa;affreightment
afghan ɔkraman a ɔyɛ ɔkraman;Afghan Hound
afghanfo na wɔyɛ saa;Afghan
afghanistan;Afghanistan
afiase;prison
afiase a wɔde obi bɛto;incarceration
afiase a wɔde obi bɛto afiase;confinement
afiase a wɔde to afiase;jailbreak
afiase a wɔde wɔn kɔ;jailbait
afiase anomaa;jailbird
afiase dan;penitentiary
afiase dan mu;dungeon
afiase dan mu;prison cell
afiase wɛmfo;prison guard
afiasehwɛfo;jailer
afiasenna a wɔde bɛto afiase;imprison
afiasenna a wɔde bɛto obi;imprisonment
afidie;device
afidie;machine
afidie;trap
afidie so;virtual
afie a wonni;homelessness
afie mu ɔkraman;domestic cat
afieboa a wɔde yɛ adwuma;domesticate
afieboa a wɔde yɛ adwuma;domestication
afieboa sotɔɔ;pet shop
afifide a wonni;vegetarianism
afifide a wɔde di dwuma;vegetate
afifide a wɔde yi nkyene fi mu;desalination plant
afifide a wɔfrɛ no phytoplankton a wɔfrɛ no phytoplankton;phytoplankton
afifide a wɔmfa nni dwuma;vegetarian
afifide a ɛsow nhwiren;flowering plant
afifide a ɛwɔ hɔ;flora
afifide a ɛwɔ hɔ;vegetation
afifide ho adesua;botany
afifide ho nimdefo;botanist
afifide ho nimdeɛ;botanical
afifide mu ahotew ho;phytosanitary
afifide mu asetra ho adesua;phytosociology
afifide turo a wɔde yɛ nneɛma;botanical garden
afiri;snare
afiri a wɔde boa aso;hearing aid
afiri a wɔde bua nsɛm;answering machine
afiri a wɔde bɔ aso;earphone
afiri a wɔde bɔ asom;headphone
afiri a wɔde bɔ asom;headphones
afiri a wɔde bɔ mframa;blowtorch
afiri a wɔde bɔ nnwom;record player
afiri a wɔde bɔ tuo;blowgun
afiri a wɔde bɔ wɔn ho ban;defense mechanism
afiri a wɔde di dwuma;aerophone
afiri a wɔde dum gya;extinguisher
afiri a wɔde fa awotwaa mu;intrauterine device
afiri a wɔde fa nneɛma;pick-up line
afiri a wɔde fa nnipa;pitfall
afiri a wɔde fa wim;aerial
afiri a wɔde horo nneɛma;washbasin
afiri a wɔde horo nneɛma;washing machine
afiri a wɔde horo nneɛma;washtub
afiri a wɔde hwehwɛ nneɛma mu;search engine
afiri a wɔde hwɛ ahome;breathalyzer
afiri a wɔde hwɛ akyirikyiri;binoculars
afiri a wɔde hwɛ akyirikyiri;telescope
afiri a wɔde hwɛ akyirikyiri;telescopic
afiri a wɔde hwɛ anyinam ahoɔden;electroscope
afiri a wɔde hwɛ nneɛma nketenkete;microscope
afiri a wɔde hwɛ nneɛma nketenkete;microscopy
afiri a wɔde hyew nneɛma;incinerator
afiri a wɔde hyɛ mu;ensnare
afiri a wɔde kasa;microphone
afiri a wɔde kyere nsɛm gu kasɛt so;recorder
afiri a wɔde kyerɛ nneɛma a ɛwɔ soro;overhead projector
afiri a wɔde kyerɛw kaad;carding machine
afiri a wɔde kyerɛw nsɛm;dictation machine
afiri a wɔde kyerɛw nsɛm;typewriter
afiri a wɔde mena;transmitter
afiri a wɔde pam ade;knitting needle
afiri a wɔde pam ade;sewing machine
afiri a wɔde popa afiri a wɔde sɔ gya;chimney sweep
afiri a wɔde si fam;landing gear
afiri a wɔde susuw nneɛma ho;metrological
afiri a wɔde susuw ntokuru ho;perforation gauge
afiri a wɔde sɔ gya;chimney
afiri a wɔde tie asɛm;stethoscope
afiri a wɔde tow hyɛn mu;launch pad
afiri a wɔde tow tuo;machine gun
afiri a wɔde twa sare;lawn mower
afiri a wɔde twa sare;lawnmower
afiri a wɔde twitwiw nneɛma;milling machine
afiri a wɔde tɔn nneɛma;vending machine
afiri a wɔde yi awieɛ;threshing floor
afiri a wɔde yi fibrillator;defibrillator
afiri a wɔde yi mframa fi mu;exhaust pipe
afiri a wɔde yi mframa fi mu;exhaust valve
afiri a wɔde yɛ adwuma;appliance
afiri a wɔde yɛ adwuma;automated
afiri a wɔde yɛ adwuma;automaton
afiri a wɔde yɛ adwuma;cartridge
afiri a wɔde yɛ adwuma;mechanism
afiri a wɔde yɛ adwuma;ploy
afiri a wɔde yɛ adwuma;smithsonite
afiri a wɔde yɛ adwuma wɔ akyirikyiri;peripheral device
afiri a wɔde yɛ apon ano;locksmithing
afiri a wɔde yɛ nipadua no;prosthesis
afiri a wɔde yɛ nipadua no;prosthetic
afiri a wɔde yɛ nneɛma;figment
afiri a wɔde yɛ nsuo;steamer
afiri a wɔde yɛ nsuo a ɛyɛ hyew;steam engine
afiri a wɔde yɛ nufusu;milking machine
afiri a ɛbɔ ho abien;double trap
afiri a ɛho ntew;dirty trick
afiri a ɛma obi koma bɔ kɛse;pacemaker
afiri a ɛnyɛ den;simple machine
afiri pon ano;trapdoor
afiri sanku;snare drum
afirikafoɔ;trapper
afisɛm;domestic
aflutter a ɛyɛ hu;aflutter
afobu;guilt
afobu a wɔde ma;condemnation
afobu anigye;guilty pleasure
afoforo a wɔyɛ;othering
afoforo a wɔyɛ;otherness
afoforo a ɛho hia;significant other
afoforo ho a wɔde di dwuma;altruism
afoforo nso;others
afono;cheek
afono;chin
afoofida;holiday
afotu;counsel
afotu a wɔde ma;admonition
afotu a wɔde ma;admonitory
afotu a wɔde ma;advisability
afotu a wɔde ma;advisory
afotu a wɔde ma;mentorship
afotu a ɛnteɛ;ill-advised
afotu wom;advisable
afoul;afoul
afow a wɔfow nneɛma;looting
afow a wɔfow nneɛma;plundering
afow nneɛma;despoil
afrafra;hybrid
afrafra;mixed
afrafra a wɔde afrafra;hybridization
afrafradeɛ;mixture
afrika;Africa
afrika abɛn;Horn of Africa
afrika apuei fam;East Africa
afrika asono;African elephant
afrika atifi fam;North Africa
afrika atɔe fam;West Africa
afrika kesee fam;Southern Africa
afrika mfinimfini fam;Central Africa
afrika mfinimfini famfo;Central African
afrika nkabom kuw;African Union
afrikaans kasa;Afrikaans
afrikafo ho adwene;Africanism
afrikafo violet a wɔfrɛ no violet;African violet
afrikaner kasa mu;Afrikaner
afrikani;African
afrikani-amerikani;African-American
afrikate kasa;affricate
afro;afro
afro-eurasia na ɛwɔ hɔ;Afro-Eurasia
afrophobia a ɛyɛ hu;Afrophobia
afrum pɔnkɔ;donkey
aft;aft
afunu a wɔawuwu;cadaverous
afunu dan;morgue
afunumu;ass
afunumu;asshole
afunumu-licker;ass-licker
afuo;farm
afuro;belly
afurum;mule
afurum ba;colt
afutuo;advice
afuw a wɔde yɛ afuw;plowshare
afuw a wɔyɛ;tillage
afuw mu adwumayɛfo;farm worker
afuw mu adwumayɛfo;farmhand
afuw mu akwantu;field trip
afuw mu ayaresabea;field hospital
afuw mu nneɛma a wɔde di dwuma;fieldfare
afuw mu ɔsraani panyin;field marshal
afã a wɔsan yɛ no mpɛn pii;iterative aspect
afã a ɛnyɛ pɛ;imperfective aspect
afã a ɛtaa ba;frequentative aspect
afã a ɛyɛ bacon;side of bacon
afã a ɛyɛ nea ɛyɛ ne ho;semelfactive aspect
afã a ɛyɛ pɛ;equilateral
afã a ɛyɛ pɛ;perfective aspect
afã abien;bilateral
afã abien;bipartite
afã abien;two-piece
afã abien a wɔkyekyɛ;bifurcation
afã anan a ɛwɔ afã anan;quadrilateral
afã bi a wɔde yɛ dan mu nneɛma;piece of furniture
afã biara a wonni;neutrality
afã horow a wɔadan no akyi ne;sides reversed is
afã horow a ɛyɛ hyew;sideburns
afã horow a ɛyɛ pɛpɛɛpɛ;aspect ratio
afã horow nkyerɛasefo;parts interpreter
afɔ;moist
afɔdeɛ;sacrifice
afɔrebɔ;sacrificial
afɔrebɔ a wɔde bɔ afɔre;sacrificatory
afɔrebɔ a wɔde bɔ afɔre;sacrilege
afɔrebɔ mu;sacrilegiously
afɔrebɔde;offering
afɔrebɔde a wɔde bɔ afɔre;scapegoat
afɔrebɔde a wɔde ma;oblation
afɔrebɔde a wɔde ma;sacrilegious
afɔremuka;altar
afɔremuka so abarimaa;altar boy
afɛfo a wɔkra nneɛma;clientele
afɛfɛde a wɔde siesie;embellishment
afɛfɛde a wɔde yɛ nneɛma;ornamental
afɛfɛde a ɛyɛ fɛ;luxurious
afɛfɛde ho nimdeɛ;aesthete
afɛfɛde ho nimdeɛ;aestheticism
afɛfɛde ho nimdeɛ;aesthetics
afɛfɛde ho ɔbenfo;beautician
afɛfɛde pa;luxury good
afɛfɛdeɛ;aesthetic
agalactia a wɔfrɛ no agalactia;agalactia
agamemnon na ɔkyerɛwee;Agamemnon
agami;agami
agape;agape
agarwood;agarwood
agate;agate
agatha na ɔkyerɛwee;Agatha
agave;agave
agent edin;agent noun
agglomeration a ɛyɛ den;agglomeration
agglutinative a ɛyɛ den;agglutinative
aggravate;aggravate
aggravation a ɛyɛ den;aggravation
agitate;agitate
agitator;agitator
aglaia na ɔkyerɛwee;Aglaia
agnate a ɛyɛ den;agnate
agnathan na ɔkyerɛwee;agnathan
agnation a wɔde yɛ adwuma;agnation
agnes na ɔkyerɛwee;Agnes
agnomen a wɔde kyerɛw nsɛm;agnomen
agnosticfo a wonnye nni;agnostic
agnosticism a wonnye nni;agnosticism
agode a wɔde di agoru;toy
agode a ɛyɛ fɛ;plush toy
agode adaka;toybox
agode yɛfo;toymaker
agodie;game
agodie a wɔde di agoru;gameplay
agodie a wɔde di agoru;playful
agodie a wɔyɛ;acting
agodie a ɛboro so;overplay
agodie a ɛfata;fair game
agodie ho nkyerɛkyerɛ;game theory
agodie ho ɔyɛkyerɛ;game show
agodie kuw;playgroup
agodini;athlete
agofomma;player
agog;agog
agonize;agonize
agoprama a wɔde di agoru;amphitheater
agoprama a wɔde di agoru;amphitheatre
agoprama a wɔde di agoru;arcade
agoprama a wɔde di agoru;playground
agoprama a wɔde di agoru;playpen
agoprama a wɔde gye wɔn ani;amusement park
agoprama so;arena
agoprama so;playing field
agoprama so agodie;stageplay
agora;agora
agoraphobia a ɛyɛ hu;agoraphobia
agoraphobic a ɛyɛ hu;agoraphobic
agorism a wɔde di dwuma;agorism
agoru a wɔde di dwuma wɔ dwumadi mu;roleplaying game
agoru a wɔde susuw nneɛma ho;guessing game
agorudi no;The Game
agoruhwɛbea;theater
agoruhwɛbea;theatrical
agorukyerɛwfo;playwright
agouti;agouti
agra;Agra
agrigento a wɔde yɛ adwuma;Agrigento
agrimi a wɔde yɛ nneɛma;agrimi
agrimony ho nimdeɛ;agrimony
agrochemistry ho adesua;agrochemistry
agrofuel a wɔde yɛ nneɛma;agrofuel
agroindustry ho adwumayɛ;agroindustry
agronomy ho adesua;agronomy
aground;aground
aguade ho gua so;commodity market
aguade ho nneɛma;merchandise
aguadi;commerce
aguadi a wɔde di gua;trade-off
aguadi a wɔde wɔn ho to so;free trade
aguadi a ɛfata;fair trade
aguadi a ɛkari pɛ;balance of trade
aguadi agyiraehyɛde;trademark
aguadi agyiraehyɛde a wɔakyerɛw din wɔ mmara mu;registered trademark
aguadi din;trade name
aguadi dɔla;trade dollar
aguadi ho adwumayɛbea;trading post
aguadi ho aguadi;marketing
aguadi ho guasodeyɛ;trade fair
aguadi hokafo;trading partner
aguadi krataa;trading card
aguadi kɔ akyirikyiri;trade away
aguadi mframa;trade wind
aguadi mu nneɛma;mercantile
aguadi mu nneɛma a ɛboro so;trade surplus
aguadi mu sika a ɛho ka sua;trade deficit
aguadi wɔ;trade in
aguadidan a wɔtɔn nneɛma wom;auction
aguadidan a wɔtɔn nneɛma wom;shopping centre
aguadidan kɛse mu;supermarket
aguadidan mu;chamber of commerce
aguadidan mu;trading floor
aguadifo;businessman
aguadifo;trader
aguadifo po so asraafo;merchant navy
aguamammɔ;fornication
aguamammɔfo;whoremonger
aguaman;harlot
aguaman;prostitute
aguaman;whore
aguaman a atwa ne ho ahyia;whore around
aguaman a ɔyɛ aguaman;whorey
aguaman bi ba;son of a whore
aguamandan;brothel
aguamansɛm a wɔde di dwuma ɔkwammɔne so;promiscuity
aguanfo;refugee
aguanfo atrae;refugee camp
aguare;bathe
aguaree;bather
aguaree a wɔde nneɛma gu mu;restroom
aguaree dan;bathhouse
aguaree nsenia;bathroom scales
aguascalientes na ɛwɔ hɔ;Aguascalientes
agude a wɔde yɛ nneɛma;jewellery
agude a wɔde yɛ nneɛma;ornament
agude adaka;jewelry box
ague;ague
agumadi;sport
agumadi a wɔde di dwuma;athletics
agumadi a ɛtra so;extreme sport
agumadi ho ɔkyerɛwfo;sports writer
agumadi kar;sports car
agumadi mpaboa;athletic shoe
agumadi mu;athletic
agumadi mu nimdeɛ;sportsmanship
agumadibea;stadium
agumadifo;sportsman
agumadifo nan;athlete's foot
agumadifo ɔbea;sportswoman
agya;dad
agya;daddy
agya;father
agya a ɔhwɛ no sɛ ne ba;adoptive father
agya a ɔne no yɛ kunu;co-father-in-law
agya a ɔyɛ n’asew;father-in-law
agya bere;Father Time
agya da no;Father's Day
agya de;paternal
agya kronkron;Holy Father
agya maame nuabea;paternal aunt
agya man;fatherland
agya nana;paternal grandfather
agya nanabea;paternal grandmother
agya nua barima;paternal uncle
agya panyin;patriarch
agyae adwuma no;abdication
agyan;arrow
agyan;axe
agyan a wɔde bɔ;darts
agyan a wɔde bɔ hama;bowstring
agyan a wɔde kyerɛ;arrowhead
agyan a wɔtow;archery
agyan ne agyan;bow and arrow
agyan ntini;arrowroot
agyan tenten;longbow
agyanan;poop
agyanan;stool
agyanan;toilet
agyanka;orphan
agyanom;progenitor
agyanom abusua;paterfamilias
agyanom kum;patricide
agyanom mpanyimfo;patriarchal
agyanom mpanyimfo;patristic
agyanom mpanyimfo nniso;patriarchy
agyantofo;archer
agyantofo a ɔbɔ agyan;archeress
agyapade;inherit
agyapade a aka;residuary estate
agyapade a wontumi mfa wɔn nsa nka;intangible asset
agyapade a wonya;patrimony
agyapade a wonya fi awo mu;inheritable
agyapade a wɔde gyina akyi;asset-backed
agyapade a wɔde ma;bequest
agyapade a ɛto so abiɛsa;third estate
agyapade a ɛwɔ hɔ daa;fixed asset
agyapade ho tow;inheritance tax
agyapade ho tow;property tax
agyapade ho tow a wɔbɔ;estate tax
agyapade hokwan ahorow;property rights
agyapade mu;hereditary
agyapadeɛ;asset
agyapadeɛ;assets
agyapadeɛ;bequeath
agyapadeɛ;heirloom
agyapadeɛ;legacy
agyapadeɛ;property
agyapadeɛ a ɛyɛ nsuo;liquid asset
agyapadeɛ kukisi;fortune cookie
agyapadeɛ sohwɛ;property management
agyayɛ;fatherhood
agye ahɔho;accommodate
agye atom;approved
agye dimmɔne;infamous
agye dimmɔne;notoriety
agye dimmɔne;notorious
agye din;illustrious
agye din;popularization
agye din;renowned
agye din a nkurɔfo ani gye ho;popularity
agye hɔ;occupied
agyede;ransom
agyede a wogye tom;receptivity
agyede a wɔde gye nneɛma;usurpation
agyedefo;redemptorist
agyefo;receiver
agyefo;receptor
agyefoɔ a wɔgye;receivership
agyenkwa;savior
agyenkwa nua;saviour sibling
agyimisɛm;craziness
agyimisɛm;insanity
agyimisɛm mu;crazily
agyinaesie;decision
agyinatufo panyin;councilman
agyinatukuo;board
agyiraehyɛde;emblem
agyiraehyɛde;mark
agyiraehyɛde;marker
agyiraehyɛde a wotumi dannan no;convertible mark
agyiraehyɛde a wɔde teɛteɛm;exclamation mark
agyiraehyɛde a ɛtra hɔ daa;permanent marker
agyiraehyɛde a ɛyɛ nwonwa;landmark
agyiraehyɛde ahorow;insignia
agyiraehyɛde kyerɛwdua;marker pen
aha;aha
aha bere bi;aha moment
ahabammono a ahoɔyaw wom;green with envy
ahabammono a ɛyɛ ahabammono;greenness
ahabammono a ɛyɛ ahabammono;greens
ahaban;leaf
ahaban a ɛbɔ;leaf blower
ahaban no mu;leaf through
ahaban-ahum;leaf-storm
ahabanmono;green
ahama a wɔde twitwa nhama;string trimmer
ahama ho nsusuwii;string theory
ahanan;four hundred
ahankron;nine hundred
ahansia;six hundred
ahanson;seven hundred
ahantan;arrogance
ahantan;arrogant
ahantan;arrogate
ahantan;conceit
ahantan;conceited
ahantan;haughtiness
ahantan;pride
ahantan a wɔyɛ;presumptuous
ahantan mu;arrogantly
ahantan so;proudly
ahantanfo;haughty
ahanu;five hundred
ahanu;two hundred
ahanu dunsia;sixteen hundred
ahanwɔtwe;eight hundred
ahasa;three hundred
ahasweros;Ahasuerus
ahaw a ɛhaw adwene;vexation
ahaw no;disturbed
ahe;how many
ahehyiapa;happy New Year
ahemfie;palace
ahemfie kronkron;Holy See
ahemfie panyin;courtier
ahemfie poma;sceptre
ahemfo a wɔyɛ adefo;aristocratic
ahemfo a wɔyɛ adehye;aristocracy
ahemfo de;kingly
ahemfo ho ɔbenfo;royalist
ahemfo nhyehyɛe;monarchic
ahemfo po so asraafo;Royal Navy
ahemman;realm
ahemman a edi mũ koraa;absolute monarchy
ahemman a wɔde di dwuma;principality
ahemman ho ɔbenfo;monarchist
ahemman kɛse;grand duchy
ahemman mufo;dynastic
ahemman nniso;imperialism
ahemman nniso;imperialist
ahemman nniso;imperialistic
ahemman nniso;monarchy
ahemman no;empire
ahemman no mu;dynasty
ahene;Kings
ahene bon mu;Valley of the Kings
aheneyɛ;kingship
ahengua;throne
ahengua so;enthrone
ahengua so a wɔde besi ahengua so;enthronement
ahenkurow hyɛn;capital ship
ahenkurow kɛse;capitol
ahenkurow mu;capital city
ahenkyɛ;crown
ahenni;kingdom
ahenni afe;regnal year
ahenni asa so;Kingdom Hall
ahiafo;destitute
ahiafo;impoverish
ahiafo;indigent
ahiafo;needy
ahiafo a wɔadi hia;impoverished
ahiasɛm;destitution
ahinanan;squared
ahinanan;squarely
ahinanan;triangle
ahinanan a wɔde ayɛ;triangulene
ahinanan a wɔfrɛ no australe;Triangulum Australe
ahinanan a ɛnyɛ pɛ;triangle inequality
ahinanan a ɛwɔ afã abiɛsa;Triangulum
ahinanan a ɛwɔ afã anan;pentagonal
ahinanan a ɛwɔ afã asia;hexagonal
ahinanan a ɛwɔ afã awotwe;octagonal
ahinanan a ɛwɔ ahinanan;heptagonal
ahinanan a ɛyɛ ahinanan;quadrangular
ahinanan a ɛyɛ ahinanan;rectangular
ahinanan a ɛyɛ ahinanan;triangular
ahinanan a ɛyɛ ahinanan;triangulate
ahinanan a ɛyɛ mmerɛw;obtuse triangle
ahinanan a ɛyɛ nifa;right triangle
ahinanan a ɛyɛ pɛ;equilateral triangle
ahinanan kɔkɔɔ;Red Square
ahinianan;square
ahiniananfa;rectangle
ahinime;October
ahintasɛm;arcane
ahintasɛm;cryptic
ahintasɛm;enigmatic
ahintasɛm;mysterious
ahintasɛm;mystery
ahintasɛm a wɔabue ano;open secret
ahintasɛm a ɛkorɔn sen biara;top secret
ahintasɛm ho nimdefo;mystic
ahintasɛm mu;mysteriously
ahintasɛm mu nsɛm;esoteric
ahintasɛm mu nsɛm;mystical
ahintaw;latent
ahoahoa ne ho;braggart
ahoahoa wɔn ho;boastful
ahoahoa wɔn ho;brag
ahobammɔ;protection
ahobammɔ;protective
ahobammɔ;safeguard
